ticker,title,event_ticker,market_type,status,result,created_time,open_time,close_time,updated_time,settlement_ts,last_price_dollars,previous_price_dollars,yes_bid_dollars,yes_ask_dollars,volume_fp,volume_24h_fp,liquidity_dollars,open_interest_fp,outcome,is_resolved
KXSECPRESSMENTION-26JAN09-BIDE,Will the White House Press Secretary say Biden at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:39:01.709883+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:09:13.228836+00:00,0.01,0.01,0.0,1.0,13296.0,0.0,0.0,0.0,0.0,True
KXHOCHULMENTION-26JAN09-FRAU,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,no,2026-01-08 14:54:50.998374+00:00,2026-01-08 15:00:00+00:00,2026-01-08 17:52:58.450879+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:23:03.228898+00:00,0.01,0.01,0.0,1.0,12321.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-ICE,Will the White House Press Secretary say ICE / National Guard at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,yes,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:36:14.203445+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:06:23.229843+00:00,0.99,0.99,0.0,1.0,11245.0,0.0,0.0,0.0,1.0,True
KXFRASUPERCUPADVANCE-26JAN08PSGOM-OM,PSG vs Marseille,KXFRASUPERCUPADVANCE-26JAN08PSGOM,binary,finalized,no,2026-01-08 15:27:20.125239+00:00,2026-01-08 15:30:00+00:00,2026-01-08 20:15:17.154264+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 20:24:43.232937+00:00,0.01,0.01,0.0,1.0,10199.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-FRAU,Will the White House Press Secretary say Fraud at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,yes,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:35:52.884879+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:06:03.229380+00:00,0.99,0.99,0.0,1.0,10196.0,0.0,0.0,0.0,1.0,True
KXSECPRESSMENTION-26JAN09-STOC,Will the White House Press Secretary say Stock Market at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:39:17.166192+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:09:23.227946+00:00,0.01,0.01,0.0,1.0,8798.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-BORD,Will the White House Press Secretary say Border at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,yes,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:37:11.321606+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:07:23.231647+00:00,0.99,0.99,0.0,1.0,6554.0,0.0,0.0,0.0,1.0,True
KXSECPRESSMENTION-26JAN09-HEAL,Will the White House Press Secretary say Healthcare at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:39:09.270562+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:09:13.230305+00:00,0.01,0.01,0.0,1.0,5907.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-ILLE,Will the White House Press Secretary say Illegal Alien at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,yes,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:37:00.738806+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:07:03.178563+00:00,0.99,0.99,0.0,1.0,4724.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-INEQ,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:54:54.287528+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:25:03.225869+00:00,0.99,0.99,0.0,1.0,3826.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-BILL,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:55:41.263574+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:25:53.227316+00:00,0.99,0.99,0.0,1.0,3647.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-EDUC,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:54:25.747147+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:24:33.228102+00:00,0.99,0.99,0.0,1.0,2947.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-POLI,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:55:09.260515+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:25:13.227398+00:00,0.99,0.99,0.0,1.0,2542.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-ALBA,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:56:33.617972+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:26:43.227793+00:00,0.99,0.99,0.0,1.0,1946.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-ECON,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:55:25.254997+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:25:33.230403+00:00,0.99,0.99,0.0,1.0,1403.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-AFFO,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:53:12.722174+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:23:23.227535+00:00,0.99,0.99,0.0,1.0,1400.0,0.0,0.0,0.0,1.0,True
KXEPLGOAL-26JAN08ARSLFC-LFCFWIRTZ7-1,Florian Wirtz records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:44.064435+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:19.344192+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.327335+00:00,0.05,0.05,0.0,1.0,25.0,0.0,0.0,0.0,0.0,True
KXEPLGOAL-26JAN08ARSLFC-ARSJTIMBE12-1,Jurrien Timber records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:44.064435+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.739401+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.325944+00:00,0.1,0.1,0.0,1.0,20.0,0.0,0.0,0.0,0.0,True
KXEPLGOAL-26JAN08ARSLFC-ARSBSAKA7-1,Bukayo Saka records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:44.064435+00:00,2026-01-08 19:05:00+00:00,2026-01-08 21:35:24.785120+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.326465+00:00,0.45,0.45,0.0,1.0,10.0,0.0,0.0,0.0,0.0,True
KXEPLGOAL-26JAN08ARSLFC-ARSVGYOKE14-1,Viktor Gyokeres records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:44.064435+00:00,2026-01-08 19:05:00+00:00,2026-01-08 21:21:24.495044+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.326905+00:00,0.3,0.3,0.0,1.0,10.0,0.0,0.0,0.0,0.0,True
KXEPLGOAL-26JAN08ARSLFC-ARSDRICE41-1,Declan Rice records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:44.064435+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.879962+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.326398+00:00,0.2,0.2,0.0,1.0,5.0,0.0,0.0,0.0,0.0,True
KXEPLGOAL-26JAN08ARSLFC-LFCCGAKPO18-1,Cody Gakpo records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:44.064435+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:19.917440+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.328095+00:00,0.05,0.05,0.0,1.0,5.0,0.0,0.0,0.0,0.0,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-ARSLTROSS19,Liverpool at Arsenal: First Goalscorer: Leandro Trossard,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:17.954123+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.326626+00:00,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-ARSBSAKA7,Liverpool at Arsenal: First Goalscorer: Bukayo Saka,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:17.755029+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:17.331665+00:00,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-ARSVGYOKE14,Liverpool at Arsenal: First Goalscorer: Viktor Gyokeres,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.248333+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.325468+00:00,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
